,benthic,pelagic,longline
spinydog,-12.903,-12.06,-12.06
winterskate,-10,-10,-10
Aherring,-4,-4,-200
Acod,-12.903,-12.06,-12.06
haddock,-11.677,-10,-10
yellowtailfl,-15.442,-200,-200
winterfl,-13.894,-200,-200
Amackerel,-5,-5,-200
silverhake,-8,-8,-8
goosefish,-12,-12,-12
