,"Discard coefficients for each species, sizeclass for each fleet",,,,
,"Bottom Trawl (BT), Pelagic (PT), Fixed Gear(FG)",,,,
,,,,,
,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydogBT,1,1,1,1,1
spinydogPT,0,0,0,0,0
spinydogFG,1,1,1,1,0.68
winterskateBT,1,1,1,1,1
winterskatePT,0,0,0,0,0
winterskateFG,0.24,0.24,0.24,0.24,0.24
AherringBT,0,0,0,0,0
AherringPT,0,0,0,0,0
AherringFG,0,0,0,0,0
AcodBT,0,0,0,0,0
AcodPT,0,0,0,0,0
AcodFG,0,0,0,0,0
haddockBT,0,0,0,0,0
haddockPT,0,0,0,0,0
haddockFG,0,0,0,0,0
yellowtailflBT,0,0,0,0,0
yellowtailflPT,0,0,0,0,0
yellowtailflFG,0,0,0,0,0
winterflBT,0,0,0,0,0
winterflPT,0,0,0,0,0
winterflFG,0,0,0,0,0
AmackerelBT,0,0,0,0,0
AmackerelPT,0,0,0,0,0
AmackerelFG,0,0,0,0,0
silverhakeBT,0,0,0,0,0
silverhakePT,0,0,0,0,0
silverhakeFG,0,0,0,0,0
goosefishBT,0,0,0,0,0
goosefishPT,0,0,0,0,0
goosefishFG,0,0,0,0,0
