species,guild,guildmember,predOrPrey
spinydog,Piscivore,1,1
winterskate,Piscivore,1,1
Aherring,Planktivore,2,0
Acod,Piscivore,1,1
haddock,Benthivore,3,0
yellowtailfl,Benthivore,3,0
winterfl,Benthivore,3,0
Amackerel,Planktivore,2,0
silverhake,Piscivore,1,1
goosefish,Piscivore,1,1
