,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydog,59.461705,57.637088,48.415852,41.093123,46.106283
winterskate,6.413408,8.804419,9.763765,10.723922,31.037085
Aherring,543.61406,1228.771767,1466.862117,1614.8495,5906.057333
Acod,3.523553,4.424157,4.313205,9.489701,11.404373
haddock,0,3.231998,14.439731,16.605535,35.821863
yellowtailfl,2.252481,4.575886,6.003629,9.361482,26.751532
winterfl,2.412409,3.780128,4.103159,4.79479,19.454305
Amackerel,172.049467,207.17605,186.784483,178.35205,136.841783
silverhake,13.181085,21.561887,23.982613,31.63298,24.796492
goosefish,2.07259,1.954318,1.570558,1.710501,4.217852
