species,B0
spinydog,344107.4
winterskate,707503.6
Aherring,2221733.3
Acod,369754.8
haddock,213810.9
yellowtailfl,57841.16
winterfl,39995.6
Amackerel,615782.3
silverhake,60151
goosefish,88612.3
