,benthic,pelagic,longline
spinydog,0,0,0
winterskate,0,0,0
Aherring,0,0,0
Acod,0,0,0
haddock,0,0,0
yellowtailfl,0,0,0
winterfl,0,0,0
Amackerel,0,0,0
silverhake,0,0,0
goosefish,0,0,0
