,benthic,pelagic,longline
1964,302211.9377,1698.308959,8931.634169
1965,302211.9377,1698.308959,8931.634169
1966,357465.5609,5247.357908,8863.203605
1967,344059.4269,7549.406171,9362.3206
1968,334086.4365,3267.318238,10934.91808
1969,304218.8086,970.4113541,9066.356562
1970,236545.5474,66.35394398,9017.000831
1971,201588.2651,694.7350311,10376.46936
1972,237477.9269,261.2459591,5998.988787
1973,234481.0794,805.6171506,3602.670106
1974,215128.8922,303.2179139,4847.038819
1975,223337.3396,190.6892446,7801.529655
1976,225812.4032,687.5298395,21780.43941
1977,209896.8293,4580.638999,8001.61466
1978,244203.787,2018.220134,6407.875669
1979,237064.4294,18176.02529,5672.114809
1980,243573.1316,4759.804065,6071.17011
1981,235167.7761,2229.787757,7991.040706
1982,276100.0949,22599.85671,5008.809768
1983,264747.4119,10735.91329,5993.652871
1984,257470.9005,4754.278717,7638.880995
1985,268005.0889,4848.377107,7196.66357
1986,426128.3724,8548.687103,11236.95081
1987,406296.021,13364.20027,11745.04063
1988,492253.5382,9550.807685,16575.47827
1989,560890.0116,13464.2352,24216.63572
1990,522739.6455,8765.506917,22353.36275
1991,465338.4848,13461.38446,20801.37509
1992,462104.8168,6209.131417,20139.84762
1993,440422.755,4221.728317,23014.63092
1994,503666.5016,3336.560481,23256.73327
1995,433318.9375,1357.700833,28495.36398
1996,390675.4669,26760.27704,22234.59605
1997,370448.8665,2431.870458,23140.51616
1998,306665.796,1256.64827,18275.16218
1999,336675.0529,1923.979756,18326.47111
2000,328785.1533,762.5532221,23596.4923
2001,347796.914,2107.239239,34055.66921
2002,382948.0869,411.868592,29557.75615
2003,357762.5656,401.4490315,28631.61495
2004,305020.9811,7165.213778,25494.54603
2005,299645.7826,995.9096413,28744.50572
2006,266606.7436,1612.925163,29214.84925
2007,230859.6138,5398.956616,38273.67385
2008,220977.0569,7176.846785,30036.6425
2009,199240.4679,4868.615896,27052.99385
2010,173320.6179,2744.505226,24041.41595
2011,192479.4026,1644.499624,23549.00658
2012,135539.1464,835.46675,26860.97556
2013,138204.7542,968.5237047,20532.01592
2014,113311.402,3766.882469,19831.84782
2015,101971.2578,3311.21866,24819.06314
2016,96659.17693,7394.349477,33189.78427
