,spinydog,winterskate,Aherring,Acod,haddock,yellowtailfl,winterfl,Amackerel,silverhake,goosefish
d,0.4,12,0.00316,0.43326,0.1403,0.000484,0.000484,1.098,0.5,0.3
h,0.5,0.005,5,4.047,3.587,5.701,5.701,3.5,3.5,3.3
