dummy1
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
9.1611
8.0724
8.9277
8.5853
8.7196
8.4143
9.2862
9.1195
9.6151
9.0835
8.1635
8.4771
8.2231
8.8848
8.7333
8.1252
8.4243
9.3494
9.5417
8.2806
8.7779
9.014
9.8138
9.2278
9.21
9.9467
8.6597
7.9774
8.3691
9.162
8.3644
8.8738
8.9778
9.2916
9.2916
9.2916
9.2916
9.2916
