,benthic,pelagic,longline
spinydog,0.25,0.22,0.22
winterskate,0.25,0.25,0.25
Aherring,0.25,0.25,1
Acod,0.25,0.22,0.22
haddock,0.25,0.25,0.25
yellowtailfl,0.48,1,1
winterfl,0.57,1,1
Amackerel,0.25,0.25,1
silverhake,0.25,0.25,0.25
goosefish,0.25,0.25,0.25
