,benthic,pelagic,longline
spinydog,5.94923E-08,5.49642E-08,3.77541E-06
winterskate,3.31446E-07,1E-30,4.55837E-08
Aherring,4.6407E-08,1.88108E-05,1E-30
Acod,2.09875E-06,1E-30,2.54077E-07
haddock,1.33719E-06,7.13187E-07,1.66994E-07
yellowtailfl,0.000003,1E-30,1E-30
winterfl,1.95642E-06,1E-30,1E-30
Amackerel,1.33681E-08,5.4187E-06,1E-30
silverhake,4.39963E-06,1.51647E-06,1E-30
goosefish,7.79426E-07,1E-30,5.13729E-07
