,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
Aherring,0.02,0.02,0.02,0.02,0.02
Acod,0.02,0.02,0.02,0.02,0.02
silverhake,0.02,0.02,0.02,0.02,0.02
