,spinydog,winterskate,Aherring,Acod,haddock,yellowtailfl,winterfl,Amackerel,silverhake,goosefish
psi,11.28075301,18.77845121,11.65211497,22.31730855,23.06032547,16.00105119,17.76925648,20.48292586,13.77993268,9.180847155
kappa,0.688187,0.59567,0.456436561,0.734859369,0.502070649,0.618898136,0.552886341,0.26327238,0.648621251,0.955590716
Linf,99.99,114.1,29.05066434,113.5946212,73.8,44.70963156,56.29613167,43.2563036,41.22438991,-150.7324133
k,0.1,0.14405,0.45225377,0.197508768,0.376,0.477577158,0.291557309,0.205956533,0.403649534,-0.047172277
growthType,4,4,4,4,2,4,4,4,4,2
