,spinydog,winterskate,Aherring,Acod,haddock,yellowtailfl,winterfl,Amackerel,silverhake,goosefish
mu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
sigma,2,2,2,2,2,2,2,2,2,2
