,benthic,pelagic,longline
1964,271707.5233,8066.526667,9494.743333
1965,271707.5233,8066.526667,9494.743333
1966,271707.5233,8066.526667,9494.743333
1967,271707.5233,8066.526667,9494.743333
1968,271707.5233,8066.526667,9494.743333
1969,290569.0433,6205.11,11305.96667
1970,281276.0833,7304.463333,10305.7
1971,267479.46,4209.496667,9232.336667
1972,251179.3867,3201.676667,7922.58
1973,236077.8,2291.736667,7883.97
1974,239112.7567,1650.326667,8892.606667
1975,229996.9167,1696.183333,12284.37333
1976,219051.67,825.7666667,19419.45333
1977,201642.79,8024.37,21639.18667
1978,223960.1,9323.856667,22814.37
1979,234992.1567,15311.96,25215.55667
1980,224249.22,13778.21,20751.35
1981,207171.1267,6813.52,22362.06
1982,234866.6867,21291.91667,29081.65333
1983,258636.9367,16382.15333,28177.94
1984,279168.3033,11101.13333,29484.95
1985,284651.2767,11176.02,31340.60333
1986,346679.43,21068.27667,26808.38667
1987,384151.6067,26193.34333,29991
1988,428802.6967,23064.23,30415.32
1989,457559.2067,24113.47,33118.63
1990,449916.7133,33346.13,37268.74
1991,441684.81,38020.91333,48487.24
1992,443921.7267,40990.84,51306.69
1993,421324.97,46533.26,56807.65667
1994,436285.1533,47918.42,58210.63667
1995,461673.9767,53912.02333,64988.9
1996,479688.1533,70487.39667,73825.73333
1997,458701.9167,79099.23,76535.30333
1998,413741.8833,51137.24,72881.61333
1999,410135.8467,23097.77333,83019.56667
2000,372526.1833,14761.21,75949.13667
2001,342173.38,17506.82333,93805.53
2002,361461.6333,15313.47,95050.63333
2003,324972.1267,11098.72333,88113.39667
2004,279046.2567,9217.243333,85920.17667
2005,271215.64,4900.983333,84246.47
2006,239163.8367,3358.236667,90510.50667
2007,228283.6,12891.72,98265.24667
2008,207347.73,17312.20667,82825.30333
2009,197543.7733,12664.13,92333.1
2010,190262.75,13949.64,86432.77
2011,187532.3533,3964.3,89887.05
2012,165922.6867,4310.013333,96121.62
2013,177133.9467,4687.99,96407.89
2014,155481.73,5306.68,86424.71
2015,155481.73,5306.68,86424.71
2016,155481.73,5306.68,86424.71
