,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydog,0,0,0,1,3
winterskate,0,0,0,2,3
Aherring,0,0,0,1,1
Acod,0,0.5,1,1.2,1.4
haddock,0,0.5,1,1.2,1.4
yellowtailfl,0,1,1,1.2,1.4
winterfl,0,1,1,1.5,3
Amackerel,0,1,1,1,1.8
silverhake,0,0,1,1.5,1.5
goosefish,0,0.5,1,1.2,1.4
