,sizeclass1,sizeclass2,sizeclass3,sizeclass4,sizeclass5
spinydog,59.666422,57.907515,48.845077,41.853475,47.742385
winterskate,6.421347,8.805716,9.752113,10.702789,30.971863
Aherring,536.965925,1210.834783,1448.126717,1597.726333,6037.4045
Acod,3.392266,4.35702,4.272695,9.508418,11.500353
haddock,0,4.654479,17.411448,21.480863,24.7555
yellowtailfl,2.228606,4.531874,5.958303,9.315865,27.078187
winterfl,2.388997,3.733801,4.067045,4.764959,19.680248
Amackerel,172.5486,208.300883,187.97955,181.121317,141.1931
silverhake,12.784956,20.898088,23.40894,31.278883,25.278197
goosefish,2.923978,4.417928,3.749166,2.600637,2.226101
